102398,Al Ahram Street,Child Abduction - Critical
102567,Hadayek El Maadi Street,Drowning Incident - Serious
102799,Zahraa El Maadi Street,Chemical Exposure - Critical
101490,Al Ahram Street,Stabbing - High
103063,El Nasr Road,Traffic Accident - Moderate
103481,El Gomhoreya Street,Natural Disaster - Severe
103867,El Gomhoreya Street,Chemical Exposure - Critical
101784,Salah Salem Street,Drowning Incident - Serious
102329,Zaki Ragab Street,Suspicious Activity - Moderate
101418,Abou Kir Street,Traffic Accident - Moderate
103973,Safar Al Hawali Street,Building Collapse - Severe
103519,Naguib Mahfouz Street,Assault - High
100060,Kasr El Nile Street,Traffic Accident - Moderate
100195,El Thawra Street,Robbery in Progress - Immediate
100506,Nile Corniche,Suspicious Activity - Moderate
100196,Saray El Azbakeya Street,Fire Emergency - High
102028,Nasr City Street,Domestic Violence - Urgent
101282,Ahmed Kamel Street,Missing Person - Serious
102479,El Batal Ahmed Abdel Aziz Street,Natural Disaster - Severe
102906,El Bahr El Aazam Street,Hazardous Material Spill - Critical